346,DEVOLUCION FACTURA,384.81,2022-1-6,2023-07-00001
111490,DEVOLUCION FACTURA,344,2023-6-2,2023-07-00002
1685,DEVOLUCION FACTURA,335,2023-2-6,2023-07-00003
1203,DEVOLUCINO FACTURA,310,2021-1-7,2023-07-00004
1296,DEVOLUCION FACTURA,305,2022-1-19,2023-07-00005
1296,DEVOLUCINO FACTURA,305,2020-12-3,2023-07-00006
1203,DEVOLUCINO FACTURA,305,2020-11-4,2023-07-00007
1106,DEVOLUCINO FACTURA,305,2021-6-3,2023-07-00008
357,DEVOLUCION FACTURA,305,2022-1-20,2023-07-00009
969,DEVOLUCINO FACTURA,300,2020-6-8,2023-07-00010
827,DEVOLUCINO FACTURA,300,2021-8-6,2023-07-00011
271,DEVOLUCION FACTURA,300,2021-11-10,2023-07-00012
260,Devolucion de factura,300,2021-8-4,2023-07-00013
104,DEVOLUCINO FACTURA,300,2020-12-7,2023-07-00014
549,DEVOLUCINO FACTURA,295,2020-7-3,2023-07-00015
321,DEVOLUCION FACTURA,286,2022-11-7,2023-07-00016
10726,DEVOLUCINO FACTURA,275,2020-10-5,2023-07-00017
10726,DEVOLUCINO FACTURA,275,2020-10-20,2023-07-00018
1560,DEVOLUCION FACTURA,275,2022-4-5,2023-07-00019
1489,DEVOLUCION FACTURA,275,2022-6-3,2023-07-00020
1258,DEVOLUCION FACTURA,275,2022-3-15,2023-07-00021
1199,DEVOLUCINO FACTURA,275,2020-11-4,2023-07-00022
1192,DEVOLUCION FACTURA,275,2021-10-4,2023-07-00023
1192,DEVOLUCION FACTURA,275,2021-11-8,2023-07-00024
1192,DEVOLUCION FACTURA,275,2022-10-7,2023-07-00025
1192,DEVOLUCION FACTURA,275,2022-11-4,2023-07-00026
1140,DEVOLUCINO FACTURA,275,2020-8-5,2023-07-00027
1139,DEVOLUCION FACTURAS,275,2020-9-21,2023-07-00028
1139,DEVOLUCINO FACTURA,275,2020-8-5,2023-07-00029
1139,DEVOLUCINO FACTURA,275,2020-10-4,2023-07-00030
1103,DEVOLUCION FACTURA,275,2023-6-9,2023-07-00031
1097,DEVOLUCION FACTURAS,275,2020-9-7,2023-07-00032
1081,DEVOLUCINO FACTURA,275,2021-5-6,2023-07-00033
1062,DEVOLUCION FACTURA,275,2022-8-9,2023-07-00034
1062,DEVOLUCINO FACTURA,275,2021-7-8,2023-07-00035
918,DEVOLUCION FACTURA,275,2022-4-8,2023-07-00036
918,DEVOLUCION FACTURA,275,2023-4-14,2023-07-00037
918,DEVOLUCINO FACTURA,275,2020-4-2,2023-07-00038
918,DEVOLUCINO FACTURA,275,2021-4-12,2023-07-00039
824,DEVOLUCINO FACTURA,275,2021-7-2,2023-07-00040
771,DEVOLUCION FACTURA,275,2022-4-5,2023-07-00041
771,DEVOLUCION FACTURA,275,2023-4-11,2023-07-00042
771,DEVOLUCINO FACTURA,275,2021-4-8,2023-07-00043
697,DEVOLUCINO FACTURA,275,2021-3-3,2023-07-00044
652,DEVOLUCINO FACTURA,275,2021-3-3,2023-07-00045
641,DEVOLUCINO FACTURA,275,2021-3-3,2023-07-00046
315,DEVOLUCINO FACTURA,275,2021-1-11,2023-07-00047
306,DEVOLUCINO FACTURA,275,2021-8-10,2023-07-00048
180,DEVOLUCION FACTURA,275,2022-2-8,2023-07-00049
180,DEVOLUCINO FACTURA,275,2021-2-10,2023-07-00050
180,DEVOLUCINO FACTURA,275,2021-2-22,2023-07-00051
