3,Devolucion de factura,25,2021-8-4,2023-07-36002
3,DEVOLUCINO FACTURA,23.71,2019-11-1,2023-07-36003
3,Cobro remesa nº 92 FACTURA N. C/6943 - 1,25,2021-8-5,2023-07-36004
3,Cobro remesa nº 89 FACTURA N. C/6943 - 1,25,2021-8-2,2023-07-36005
3,Cobro remesa nº 58 FACTURA N. C/4 - 1,25,2021-1-4,2023-07-36006
3,Cobro remesa nº 54 FACTURA N. C/9642 - 1,25,2020-12-1,2023-07-36007
3,Cobro remesa nº 51 FACTURA N. C/8594 - 1,25,2020-11-2,2023-07-36008
3,Cobro remesa nº 5 FACTURA N. C/151 - 1,23.71,2019-11-5,2023-07-36009
3,Cobro remesa nº 47 FACTURA N. C/7468 - 1,35,2020-10-1,2023-07-36010
3,Cobro remesa nº 45 FACTURA N. C/6346 - 1,35,2020-9-1,2023-07-36011
3,Cobro remesa nº 4 FACTURA N. C/36 - 1,35,2019-11-4,2023-07-36012
3,Cobro remesa nº 38 FACTURA N. C/5240 - 1,35,2020-8-3,2023-07-36013
3,Cobro remesa nº 35 FACTURA N. C/4170 - 1,35,2020-7-1,2023-07-36014
3,Cobro remesa nº 29 FACTURA N. C/3165 - 1,35,2020-6-1,2023-07-36015
3,Cobro remesa nº 26 FACTURA N. C/2198 - 1,35,2020-5-4,2023-07-36016
3,Cobro remesa nº 24 FACTURA N. C/1258 - 1,35,2020-4-1,2023-07-36017
3,Cobro remesa nº 21 FACTURA N. C/693 - 1,35,2020-3-2,2023-07-36018
3,Cobro remesa nº 20 FACTURA N. C/312 - 1,35,2020-2-3,2023-07-36019
3,Cobro remesa nº 195 FACTURA N. C/5370 - 1,35,2023-6-1,2023-07-36020
3,Cobro remesa nº 187 FACTURA N. C/4206 - 1,35,2023-5-1,2023-07-36021
3,Cobro remesa nº 184 FACTURA N. C/3132 - 1,35,2023-4-3,2023-07-36022
3,Cobro remesa nº 182 FACTURA N. C/2046 - 1,35,2023-3-3,2023-07-36023
3,Cobro remesa nº 18 FACTURA N. C/3 - 1,35,2020-1-1,2023-07-36024
3,Cobro remesa nº 174 FACTURA N. C/1006 - 1,35,2023-2-2,2023-07-36025
3,Cobro remesa nº 172 FACTURA N. C/2 - 1,35,2023-1-2,2023-07-36026
3,Cobro remesa nº 167 FACTURA N. C/10829 - 1,35,2022-12-2,2023-07-36027
3,Cobro remesa nº 163 FACTURA N. C/9829 - 1,35,2022-11-2,2023-07-36028
3,Cobro remesa nº 158 FACTURA N. C/8775 - 1,35,2022-10-1,2023-07-36029
3,Cobro remesa nº 155 FACTURA N. C/7758 - 1,35,2022-9-1,2023-07-36030
3,Cobro remesa nº 150 FACTURA N. C/6771 - 1,35,2022-8-1,2023-07-36031
3,Cobro remesa nº 15 FACTURA N. C/304 - 1,35,2019-12-1,2023-07-36032
3,Cobro remesa nº 145 FACTURA N. C/5803 - 1,35,2022-7-1,2023-07-36033
3,Cobro remesa nº 142 FACTURA N. C/4807 - 1,35,2022-6-1,2023-07-36034
3,Cobro remesa nº 138 FACTURA N. C/3847 - 1,35,2022-5-2,2023-07-36035
3,Cobro remesa nº 132 FACTURA N. C/2888 - 1,25,2022-4-1,2023-07-36036
3,Cobro remesa nº 129 FACTURA N. C/1927 - 1,25,2022-2-1,2023-07-36037
3,Cobro remesa nº 124 FACTURA N. C/959 - 1,25,2022-2-1,2023-07-36038
3,Cobro remesa nº 120 FACTURA N. C/2 - 1,25,2022-1-3,2023-07-36039
3,Cobro remesa nº 113 FACTURA N. C/10883 - 1,25,2021-12-1,2023-07-36040
3,Cobro remesa nº 111 FACTURA N. C/9903 - 1,25,2021-11-2,2023-07-36041
3,Cobro remesa nº 108 FACTURA N. C/8907 - 1,25,2021-10-1,2023-07-36042
3,Cobro remesa nº 103 FACTURA N. C/7940 - 1,25,2021-9-1,2023-07-36043
3,COBRO FACTURA,23.71,2019-11-1,2023-07-36044
4,DEVOLUCINO FACTURA,25,2019-11-1,2023-07-36045
4,DEVOLUCINO FACTURA,25,2021-8-6,2023-07-36046
4,DEVOLUCINO FACTURA,8.06,2019-11-1,2023-07-36047
4,Cobro remesa nº 95 FACTURA N. C/6944 - 1,25,2021-8-9,2023-07-36048
4,Cobro remesa nº 89 FACTURA N. C/6944 - 1,25,2021-8-2,2023-07-36049
4,Cobro remesa nº 83 FACTURA N. C/5968 - 1,25,2021-7-1,2023-07-36050
4,Cobro remesa nº 81 FACTURA N. C/4997 - 1,25,2021-6-1,2023-07-36051
4,Cobro remesa nº 77 FACTURA N. C/4031 - 1,25,2021-5-3,2023-07-36052
4,Cobro remesa nº 71 FACTURA N. C/3049 - 1,25,2021-4-1,2023-07-36053
4,Cobro remesa nº 66 FACTURA N. C/2056 - 1,25,2021-3-1,2023-07-36054
4,Cobro remesa nº 61 FACTURA N. C/1027 - 1,25,2021-2-1,2023-07-36055
4,Cobro remesa nº 58 FACTURA N. C/5 - 1,25,2021-1-4,2023-07-36056
4,Cobro remesa nº 54 FACTURA N. C/9643 - 1,25,2020-12-1,2023-07-36057
4,Cobro remesa nº 51 FACTURA N. C/8595 - 1,25,2020-11-2,2023-07-36058
4,Cobro remesa nº 5 FACTURA N. C/152 - 1,8.06,2019-11-5,2023-07-36059
